EntrezGene ID	GO ID
92	GO:0043084
92	GO:0043621
92	GO:0045648
92	GO:0045669
92	GO:0046872
92	GO:0046881
92	GO:0048185
92	GO:0048186
92	GO:0048187
92	GO:0048706
92	GO:0050999
92	GO:0060011
93	GO:0000166
93	GO:0001702
93	GO:0001822
93	GO:0004674
93	GO:0004702
93	GO:0004712
93	GO:0004872
93	GO:0005024
93	GO:0005515
93	GO:0005524
93	GO:0005737
93	GO:0005886
93	GO:0005886
93	GO:0005887
93	GO:0006468
93	GO:0007165
93	GO:0007178
93	GO:0007368
93	GO:0007389
93	GO:0007498
93	GO:0007507
93	GO:0009749
93	GO:0009791
93	GO:0009952
93	GO:0009986
93	GO:0016362
93	GO:0019838
93	GO:0030073
93	GO:0030324
93	GO:0030501
93	GO:0030509
93	GO:0030509
93	GO:0031016
93	GO:0032147
93	GO:0032927
93	GO:0035265
93	GO:0042475
93	GO:0045669
93	GO:0046872
93	GO:0048185
93	GO:0048617
93	GO:0048705
93	GO:0060021
94	GO:0000166
94	GO:0001525
94	GO:0001701
94	GO:0001936
94	GO:0001955
94	GO:0002043
94	GO:0004674
94	GO:0004675
94	GO:0004702
94	GO:0004872
94	GO:0005024
94	GO:0005025
94	GO:0005515
94	GO:0005524
94	GO:0005887
94	GO:0006275
94	GO:0006468
94	GO:0007162
94	GO:0007165
94	GO:0007179
94	GO:0008015
94	GO:0008217
94	GO:0008285
94	GO:0009986
94	GO:0010596
94	GO:0016020
94	GO:0016361
94	GO:0016361
94	GO:0030308
94	GO:0030336
94	GO:0030513
94	GO:0035313
94	GO:0043535
94	GO:0046332
94	GO:0046872
94	GO:0048185
94	GO:0050431
94	GO:0051895
95	GO:0004046
95	GO:0005737
95	GO:0005829
95	GO:0006508
95	GO:0006520
95	GO:0008152
95	GO:0008237
95	GO:0016787
95	GO:0046872
97	GO:0003998
97	GO:0006796
97	GO:0016787
98	GO:0003998
98	GO:0005739
98	GO:0006796
98	GO:0016787
100	GO:0001666
100	GO:0001701
100	GO:0001829
100	GO:0001883
100	GO:0001889
100	GO:0001890
100	GO:0002314
100	GO:0002636
100	GO:0002686
100	GO:0002906
100	GO:0004000
100	GO:0004000
100	GO:0004000
100	GO:0005515
100	GO:0005615
100	GO:0005737
100	GO:0005764
100	GO:0005829
100	GO:0005886
