ID	SystemCode	MAPP
1977	L	Insulin Signaling:WP481
27330	L	Insulin Signaling:WP481
6464	L	Insulin Signaling:WP481
2002	L	Insulin Signaling:WP481
9882	L	Insulin Signaling:WP481
6236	L	Insulin Signaling:WP481
57381	L	Insulin Signaling:WP481
8050	L	TCA Cycle:WP78
54704	L	TCA Cycle:WP78
57546	L	TCA Cycle:WP78
6389	L	TCA Cycle:WP78
3418	L	TCA Cycle:WP78
3419	L	TCA Cycle:WP78
1738	L	TCA Cycle:WP78
5091	L	TCA Cycle:WP78
1737	L	TCA Cycle:WP78
8801	L	TCA Cycle:WP78
8802	L	TCA Cycle:WP78
8803	L	TCA Cycle:WP78
4967	L	TCA Cycle:WP78
5160	L	TCA Cycle:WP78
5161	L	TCA Cycle:WP78
5162	L	TCA Cycle:WP78
5163	L	TCA Cycle:WP78
5164	L	TCA Cycle:WP78
5165	L	TCA Cycle:WP78
5166	L	TCA Cycle:WP78
4190	L	TCA Cycle:WP78
4191	L	TCA Cycle:WP78
6391	L	TCA Cycle:WP78
2271	L	TCA Cycle:WP78
1431	L	TCA Cycle:WP78
6392	L	TCA Cycle:WP78
3421	L	TCA Cycle:WP78
3420	L	TCA Cycle:WP78
50	L	TCA Cycle:WP78
6390	L	TCA Cycle:WP78
1743	L	TCA Cycle:WP78
216	L	Vitamin A and carotenoid metabolism:WP716
29881	L	Vitamin A and carotenoid metabolism:WP716
54884	L	Vitamin A and carotenoid metabolism:WP716
116362	L	Vitamin A and carotenoid metabolism:WP716
1592	L	Vitamin A and carotenoid metabolism:WP716
6817	L	Vitamin A and carotenoid metabolism:WP716
6121	L	Vitamin A and carotenoid metabolism:WP716
4023	L	Vitamin A and carotenoid metabolism:WP716
64241	L	Vitamin A and carotenoid metabolism:WP716
64240	L	Vitamin A and carotenoid metabolism:WP716
145226	L	Vitamin A and carotenoid metabolism:WP716
9249	L	Vitamin A and carotenoid metabolism:WP716
5947	L	Vitamin A and carotenoid metabolism:WP716
157506	L	Vitamin A and carotenoid metabolism:WP716
5948	L	Vitamin A and carotenoid metabolism:WP716
158835	L	Vitamin A and carotenoid metabolism:WP716
56603	L	Vitamin A and carotenoid metabolism:WP716
5914	L	Vitamin A and carotenoid metabolism:WP716
6820	L	Vitamin A and carotenoid metabolism:WP716
1381	L	Vitamin A and carotenoid metabolism:WP716
124	L	Vitamin A and carotenoid metabolism:WP716
127	L	Vitamin A and carotenoid metabolism:WP716
53630	L	Vitamin A and carotenoid metabolism:WP716
220	L	Vitamin A and carotenoid metabolism:WP716
5950	L	Vitamin A and carotenoid metabolism:WP716
948	L	Vitamin A and carotenoid metabolism:WP716
6017	L	Vitamin A and carotenoid metabolism:WP716
949	L	Vitamin A and carotenoid metabolism:WP716
5959	L	Vitamin A and carotenoid metabolism:WP716
50700	L	Vitamin A and carotenoid metabolism:WP716
6258	L	Vitamin A and carotenoid metabolism:WP716
5915	L	Vitamin A and carotenoid metabolism:WP716
83875	L	Vitamin A and carotenoid metabolism:WP716
1571	L	Vitamin A and carotenoid metabolism:WP716
5916	L	Vitamin A and carotenoid metabolism:WP716
6257	L	Vitamin A and carotenoid metabolism:WP716
6256	L	Vitamin A and carotenoid metabolism:WP716
1382	L	Vitamin A and carotenoid metabolism:WP716
8854	L	Vitamin A and carotenoid metabolism:WP716
890	L	AMPK signaling:WP1403
2475	L	AMPK signaling:WP1403
56731	L	AMPK signaling:WP1403
891	L	AMPK signaling:WP1403
5296	L	AMPK signaling:WP1403
5294	L	AMPK signaling:WP1403
57521	L	AMPK signaling:WP1403
5293	L	AMPK signaling:WP1403
5290	L	AMPK signaling:WP1403
5291	L	AMPK signaling:WP1403
53632	L	AMPK signaling:WP1403
6720	L	AMPK signaling:WP1403
2194	L	AMPK signaling:WP1403
5562	L	AMPK signaling:WP1403
8503	L	AMPK signaling:WP1403
6517	L	AMPK signaling:WP1403
4207	L	AMPK signaling:WP1403
3172	L	AMPK signaling:WP1403
5568	L	AMPK signaling:WP1403
200186	L	AMPK signaling:WP1403
5564	L	AMPK signaling:WP1403
5565	L	AMPK signaling:WP1403
5567	L	AMPK signaling:WP1403
51719	L	AMPK signaling:WP1403
5563	L	AMPK signaling:WP1403
1375	L	AMPK signaling:WP1403
1374	L	AMPK signaling:WP1403
133522	L	AMPK signaling:WP1403
9370	L	AMPK signaling:WP1403
2997	L	AMPK signaling:WP1403
8900	L	AMPK signaling:WP1403
3991	L	AMPK signaling:WP1403
79602	L	AMPK signaling:WP1403
5289	L	AMPK signaling:WP1403
147	L	AMPK signaling:WP1403
5295	L	AMPK signaling:WP1403
207	L	AMPK signaling:WP1403
3953	L	AMPK signaling:WP1403
3952	L	AMPK signaling:WP1403
10645	L	AMPK signaling:WP1403
148	L	AMPK signaling:WP1403
7249	L	AMPK signaling:WP1403
100271849	L	AMPK signaling:WP1403
3630	L	AMPK signaling:WP1403
5209	L	AMPK signaling:WP1403
1938	L	AMPK signaling:WP1403
3643	L	AMPK signaling:WP1403
23236	L	AMPK signaling:WP1403
2998	L	AMPK signaling:WP1403
92335	L	AMPK signaling:WP1403
6794	L	AMPK signaling:WP1403
1026	L	AMPK signaling:WP1403
84254	L	AMPK signaling:WP1403
1994	L	AMPK signaling:WP1403
1978	L	AMPK signaling:WP1403
32	L	AMPK signaling:WP1403
31	L	AMPK signaling:WP1403
7248	L	AMPK signaling:WP1403
5571	L	AMPK signaling:WP1403
