Ensembl ID	miRBase ID
ENSG00000221331	MI0010637
ENSG00000221333	MI0006354
ENSG00000221348	MI0006378
ENSG00000221349	MI0006427
ENSG00000221355	MI0006432
ENSG00000221365	MI0006318
ENSG00000221366	MI0006443
ENSG00000221369	MI0006395
ENSG00000221371	MI0006401
ENSG00000221390	MI0006357
ENSG00000221393	MI0006367
ENSG00000221394	MI0006319
ENSG00000221406	MI0003839
ENSG00000221410	MI0006328
ENSG00000221411	MI0006316
ENSG00000221417	MI0006391
ENSG00000221419	MI0006349
ENSG00000221421	MI0003832
ENSG00000221430	MI0006356
ENSG00000221436	MI0006376
ENSG00000221442	MI0006377
ENSG00000221445	MI0003815
ENSG00000221456	MI0006334
ENSG00000221463	MI0006419
ENSG00000221464	MI0003814
ENSG00000221476	MI0008195
ENSG00000221479	MI0006386
ENSG00000221493	MI0003778
ENSG00000221494	MI0006424
ENSG00000221502	MI0006380
ENSG00000221510	MI0006402
ENSG00000221520	MI0006346
ENSG00000221525	MI0003844
ENSG00000221533	MI0006277
ENSG00000221537	MI0006411
ENSG00000221540	MI0006273
ENSG00000221545	MI0006436
ENSG00000221548	MI0006430
ENSG00000221552	MI0006370
ENSG00000221560	MI0006362
ENSG00000221563	MI0006406
ENSG00000221566	MI0006274
ENSG00000221585	MI0006313
ENSG00000221586	MI0006396
ENSG00000221594	MI0006374
ENSG00000221598	MI0006384
ENSG00000221603	MI0006277
ENSG00000221604	MI0006355
ENSG00000221614	MI0003821
ENSG00000221616	MI0006414
ENSG00000221628	MI0006365
ENSG00000221630	MI0006272
ENSG00000221634	MI0006416
ENSG00000221641	MI0006405
ENSG00000221649	MI0006323
ENSG00000221650	MI0006404
ENSG00000221656	MI0006311
ENSG00000221661	MI0006363
ENSG00000221662	MI0006352
ENSG00000221667	MI0008193
ENSG00000221669	MI0006399
ENSG00000221680	MI0006425
ENSG00000221697	MI0006415
ENSG00000221698	MI0006413
ENSG00000221703	MI0006417
ENSG00000221710	MI0003938
ENSG00000221737	MI0006421
ENSG00000221739	MI0006335
ENSG00000221745	MI0006656
ENSG00000221753	MI0006409
ENSG00000221754	MI0006394
ENSG00000221755	MI0006654
ENSG00000221760	MI0006345
ENSG00000221763	MI0006350
ENSG00000221767	MI0006444
ENSG00000221771	MI0006338
ENSG00000221782	MI0006375
ENSG00000221783	MI0006276
ENSG00000221788	MI0006434
ENSG00000221792	MI0006429
ENSG00000221795	MI0006657
ENSG00000221801	MI0006412
ENSG00000221802	MI0006324
ENSG00000221808	MI0006390
ENSG00000222071	MI0008336
ENSG00000222190	MI0008331
ENSG00000222246	MI0007076
ENSG00000222321	MI0008333
ENSG00000222326	MI0008329
ENSG00000222417	MI0007075
ENSG00000222532	MI0003782
ENSG00000222651	MI0007074
ENSG00000222690	MI0007260
ENSG00000222715	MI0008332
ENSG00000222831	MI0007258
ENSG00000222958	MI0008334
ENSG00000223010	MI0008335
ENSG00000223109	MI0007259
ENSG00000223244	MI0008330
ENSG00000238346	MI0009989
ENSG00000238367	MI0003939
ENSG00000238399	MI0010487
ENSG00000238517	MI0006407
ENSG00000238682	MI0000776
ENSG00000238682	MI0002466
ENSG00000238705	MI0009986
ENSG00000238728	MI0009982
ENSG00000238742	MI0010629
ENSG00000238828	MI0009984
ENSG00000238916	MI0009987
ENSG00000239070	MI0006359
ENSG00000239118	MI0009982
ENSG00000251725	MI0011284
ENSG00000251856	MI0003823
ENSG00000252153	MI0011285
ENSG00000252454	MI0010633
ENSG00000252466	MI0010634
ENSG00000252589	MI0010636
ENSG00000252695	MI0011282
ENSG00000253030	MI0010635
